twoPass,quality,bestQuality,goodQuality,rtQuality,constantBitrate,autoAltRef,noAltRef,allowResize,columnTiling,rowTiling,Threads,ArnrMaxFrames,ArnrStrength,Performance-,Cpu-,_source_row
1,1,1,0,0,1,1,0,1,0,1,8,0,3,165580.0,3.458215,14
0,1,0,1,0,0,0,0,1,1,1,4,5,6,28578.0,7.372734,9
1,1,0,1,0,1,0,1,1,1,1,2,0,0,40564.2,6.798671,57
0,1,1,0,0,1,0,0,0,0,1,1,0,0,122610.6,3.553838,56
1,1,0,1,0,1,1,0,0,0,1,4,0,3,79777.0,3.818269,0
1,1,1,0,0,0,1,0,1,0,1,4,5,6,184816.2,3.421049,70
1,1,1,0,0,1,1,0,0,0,1,8,15,0,168035.4,3.423692,17
0,1,0,1,0,0,0,0,0,1,0,8,15,6,28828.4,6.90138,49
0,1,1,0,0,1,0,0,0,0,1,8,0,6,122457.6,3.596954,30
1,1,0,1,0,0,1,0,1,0,1,1,15,0,84276.6,3.745723,21
1,1,0,1,0,0,1,0,1,0,1,8,5,6,89266.4,3.68248,55
0,1,0,1,0,0,0,0,1,1,1,2,15,6,28757.4,6.971035,13
0,1,0,1,0,0,0,0,0,0,1,4,0,3,45990.2,4.263546,38
0,1,0,1,0,0,0,0,1,1,0,8,0,3,28470.8,7.510961,26
0,1,0,1,0,0,0,0,1,1,0,4,15,6,28615.2,7.204261,27
1,1,1,0,0,0,0,1,0,0,0,4,0,0,150639.0,3.520168,59
0,1,1,0,0,0,0,0,0,0,1,8,0,3,110397.2,3.633668,37
0,1,0,1,0,0,0,0,0,1,1,1,0,0,45909.6,4.53087,43
0,1,0,1,0,1,0,0,0,0,1,8,0,0,50508.2,3.840792,6
0,1,0,1,0,0,0,0,1,1,0,8,5,0,28512.8,7.415148,42
1,1,0,1,0,0,0,1,0,1,1,8,0,0,44046.4,6.505,53
0,1,0,1,0,0,0,0,1,1,0,2,5,6,28653.8,6.994803,71
0,1,0,1,0,1,0,0,0,1,0,8,15,3,31203.0,6.830484,31
1,1,1,0,0,1,0,1,1,0,1,2,0,0,139980.8,3.534245,58
1,1,0,1,0,0,0,1,1,1,0,4,0,0,43927.4,6.566818,16
