name,Buy-,Sell+,color 1,color 2,size,Miles_Price,source,seasonal_Availability,mannequin_Piece,style,type,villager_Equippable,catalog,filename,unique_Entry_ID,_source_row
A tee,560.0,140,Blue,White,1,640,Nook Shopping Catalog,All Year,No,Simple,Yes,For sale,TopsTexTopTshirtsHAce0,8532,7XCg953t2tGAPuzaR,12
camper tee,840.0,210,Green,Green,1,640,Nook Shopping Promotion,All Year,No,Simple,Yes,Not in catalog,TopsTexTopTshirtsHOkmotors0,12426,WiN73dy22JaKPfnmp,42
sleeveless parka,1200.0,300,Purple,Black,1,640,Able Sisters,Summer,Yes,Active,Yes,For sale,TopsTexTopOuterNNosleeve3,7996,QnPQeiQ3CbF3J8yEQ,6
No. 1 shirt,560.0,140,Red,Light blue,1,640,Nook Shopping Catalog,All Year,No,Simple,Yes,For sale,TopsTexTopTshirtsHOne0,6888,JGTwnNNjjSRijFpuF,28
lacy tank,850.0,212,White,White,1,640,Able Sisters,Summer,Yes,Cute,Yes,For sale,TopsTexTopTshirtsNCamisolelace0,3239,GY7P6emey7tvkci5S,2
dolly shirt,960.0,240,Light blue,Blue,1,640,Able Sisters,Summer,No,Cute,Yes,For sale,TopsTexTopPuffHDolly1,11952,AcacBmTTXMoCpthvT,3
heart sweater,1000.0,250,Pink,Red,1,640,Able Sisters,Winter,No,Cute,Yes,For sale,TopsTexTopOuterLHeart0,8193,HbWJjSf6WwKBYj2RC,55
blossom tee,800.0,200,Pink,White,1,640,Able Sisters,Summer,No,Cute,Yes,For sale,TopsTexTopTshirtsHFlower0,8205,M7qCnBYqNGLyLSskf,4
retro sweater,1200.0,300,Purple,Colorful,1,640,Able Sisters,Winter,Yes,Cute,Yes,For sale,TopsTexTopOuterLHighsence0,4575,dEvz6cPYicrEfAXRp,7
bowling shirt,1260.0,315,Red,Black,1,640,Able Sisters,Summer,Yes,Cool,Yes,For sale,TopsTexTopYshirtsHBowling0,3698,nqr3XGTNmtobMKMch,1
guayabera shirt,1120.0,280,Blue,Blue,1,640,Able Sisters,Summer,Yes,Cool,Yes,For sale,TopsTexTopYshirtsHCuba3,9436,zLdpKoiAKMRKuy7fS,5
hand-knit tank,840.0,210,Red,Red,1,640,Able Sisters,All Year,No,Elegant,Yes,For sale,TopsTexTopOuterNKnit5,11793,tXQJdNPRpgMjyDEjL,51
Nook Inc. blouson,1348.395967,4000,Green,Green,1,800,Nook Miles Shop,All Year,No,Simple,Yes,Not for sale,TopsTexTopOuterLRco,5625,3yAwEXCgtLKgxqY3q,9
animal-stripes tee,960.0,240,Gray,Black,1,640,Able Sisters,Summer,No,Cool,Yes,For sale,TopsTexTopTshirtsHStripe1,12066,gkjWimKdm6sMgiTw8,11
handmade cape,500.0,125,Red,Light blue,1,640,International Children's Day,All Year,No,Active,Yes,Not in catalog,TopsTexTopCoatHChildren0,12575,kyri67BZSPNBozQ3K,19
hello tee,640.0,160,Black,White,1,640,Nook Shopping Catalog,All Year,No,Simple,Yes,For sale,TopsTexTopTshirtsHHelloen0,12116,PvdrCjp68ATfFAWTx,18
tube top,640.0,160,Blue,Blue,1,640,Able Sisters,Summer,No,Cute,Yes,For sale,TopsTexTopTshirtsNTubetop5,8086,R6mpP7Q5fhDH7q37A,52
work apron,1100.0,275,Brown,Blue,1,640,Able Sisters,All Year,Yes,Active,Yes,For sale,TopsTexTopCoatLWorkapron0,9830,LGnwusDDvGBNQzYoz,16
Aran-knit cardigan,1300.0,325,Pink,Pink,1,640,Able Sisters,Winter,No,Simple,Yes,For sale,TopsTexTopOuterLArancardigan2,7679,mJtGnjdLxpmdakhxo,43
thread-worn sweater,980.0,245,Black,White,1,640,Able Sisters,All Year,Yes,Cool,Yes,For sale,TopsTexTopTshirtsLDamage1,8556,5WikqoBPEKiw2wvJu,22
tank,350.0,87,Blue,Blue,1,640,Able Sisters,Summer,No,Simple,Yes,For sale,TopsTexTopTshirtsNTanktop4,8376,ST7z58LiuJx4gzaNg,56
after-school jacket,1050.0,262,Red,Green,1,640,Able Sisters,All Year,No,Cool,Yes,For sale,TopsTexTopYshirtsLGakuranopen1,7554,mGvZuvYbGma2REd6A,13
tree sweater,880.0,220,Beige,Green,1,640,Nook Shopping Catalog,Winter,No,Simple,Yes,For sale,TopsTexTopOuterLTree0,8194,THhQgeXeutm26jHxt,45
after-school jacket,1050.0,262,Gray,White,1,640,Able Sisters,All Year,No,Cool,Yes,For sale,TopsTexTopYshirtsLGakuranopen5,7558,m279zqujD3zTbp44a,64
