name,Buy-,Sell+,color 1,color 2,size,Miles_Price,source,seasonal_Availability,mannequin_Piece,style,type,villager_Equippable,catalog,filename,unique_Entry_ID,_source_row
handmade cape,500.0,125,Red,Light blue,1,640,International Children's Day,All Year,No,Active,Yes,Not in catalog,TopsTexTopCoatHChildren0,12575,kyri67BZSPNBozQ3K,450
Nook Inc. blouson,1348.395967,4000,Green,Green,1,800,Nook Miles Shop,All Year,No,Simple,Yes,Not for sale,TopsTexTopOuterLRco,5625,3yAwEXCgtLKgxqY3q,623
Aran-knit cardigan,1300.0,325,Pink,Pink,1,640,Able Sisters,Winter,No,Simple,Yes,For sale,TopsTexTopOuterLArancardigan2,7679,mJtGnjdLxpmdakhxo,30
simple-dots tee,640.0,160,Red,White,1,640,Able Sisters,Summer,No,Active,Yes,For sale,TopsTexTopTshirtsHSimpledot2,9499,R9xN2MNz6Fd4ZTfwW,865
blossom tee,800.0,200,Pink,White,1,640,Able Sisters,Summer,No,Cute,Yes,For sale,TopsTexTopTshirtsHFlower0,8205,M7qCnBYqNGLyLSskf,84
tree sweater,880.0,220,Beige,Green,1,640,Nook Shopping Catalog,Winter,No,Simple,Yes,For sale,TopsTexTopOuterLTree0,8194,THhQgeXeutm26jHxt,1035
meme shirt,960.0,240,Purple,Green,1,640,Able Sisters,Summer,No,Cool,Yes,For sale,TopsTexTopTshirtsHMeme0,4717,gaFvwJQhpijd3zZuR,560
dolly shirt,960.0,240,Light blue,Blue,1,640,Able Sisters,Summer,No,Cute,Yes,For sale,TopsTexTopPuffHDolly1,11952,AcacBmTTXMoCpthvT,269
madras plaid shirt,1120.0,280,Red,Green,1,640,Able Sisters,Summer,No,Active,Yes,For sale,TopsTexTopYshirtsHMadras2,8964,ZvCch2H7rkW7d5688,554
sleeveless parka,1200.0,300,Purple,Black,1,640,Able Sisters,Summer,Yes,Active,Yes,For sale,TopsTexTopOuterNNosleeve3,7996,QnPQeiQ3CbF3J8yEQ,891
A tee,560.0,140,Blue,White,1,640,Nook Shopping Catalog,All Year,No,Simple,Yes,For sale,TopsTexTopTshirtsHAce0,8532,7XCg953t2tGAPuzaR,0
work shirt,1040.0,260,White,Purple,1,640,Able Sisters,All Year,No,Cool,Yes,For sale,TopsTexTopYshirtsLNecktie2,8486,nWAc5jewJmTvCDdov,1095
Chimayo vest,1120.0,280,Red,Green,1,640,Able Sisters,All Year,No,Elegant,Yes,For sale,TopsTexTopYshirtsLChimayo1,9448,8rTMGjNiqHnwmu5Jx,181
after-school jacket,1050.0,262,Black,Red,1,640,Able Sisters,All Year,Yes,Cool,Yes,For sale,TopsTexTopYshirtsLGakuranopen0,4366,rAfEdHYdt5e4AGTya,3
big-star tee,560.0,140,Blue,Yellow,1,640,Nook Shopping Catalog,All Year,No,Simple,Yes,For sale,TopsTexTopTshirtsHStar0,6822,JpATLjagWyw8q8zqx,77
argyle sweater,1200.0,300,White,Green,1,640,Able Sisters,Winter,Yes,Simple,Yes,For sale,TopsTexTopOuterLArgyle7,7748,22jF8CGD8WXrECzwD,46
bowling shirt,1260.0,315,Red,Black,1,640,Able Sisters,Summer,Yes,Cool,Yes,For sale,TopsTexTopYshirtsHBowling0,3698,nqr3XGTNmtobMKMch,111
hand-knit tank,840.0,210,Red,Red,1,640,Able Sisters,All Year,No,Elegant,Yes,For sale,TopsTexTopOuterNKnit5,11793,tXQJdNPRpgMjyDEjL,449
lacy tank,850.0,212,White,White,1,640,Able Sisters,Summer,Yes,Cute,Yes,For sale,TopsTexTopTshirtsNCamisolelace0,3239,GY7P6emey7tvkci5S,527
lacy shirt,850.0,212,Black,Black,1,640,Able Sisters,Summer,Yes,Elegant,Yes,For sale,TopsTexTopTshirtsHLace0,3811,ngdhgZrf5ibCcotY4,525
tube top,640.0,160,Blue,Blue,1,640,Able Sisters,Summer,No,Cute,Yes,For sale,TopsTexTopTshirtsNTubetop5,8086,R6mpP7Q5fhDH7q37A,1046
guayabera shirt,1120.0,280,Blue,Blue,1,640,Able Sisters,Summer,Yes,Cool,Yes,For sale,TopsTexTopYshirtsHCuba3,9436,zLdpKoiAKMRKuy7fS,435
sweater on shirt,960.0,240,White,Pink,1,640,Able Sisters,All Year,Yes,Elegant,Yes,For sale,TopsTexTopYshirtsLTiedsweater0,3328,wB2XQvnvbYXfiWTh3,952
gilet and shirt,1120.0,280,Red,Black,1,640,Able Sisters,Summer,No,Cool,Yes,For sale,TopsTexTopTshirtsHGillet2,8401,Xs753h2y26FT8SYoW,405
