encryption,compression,compressionBzip2,compressionGzip,compressionLzo,compressionZpaq,compressionLzma,unlimitedWindowSize,disableCompressibilityTesting,Level,ProcessorCount,MaxRam,Performance-,Benchmark-cpu-,_source_row
0,0,0,0,0,0,0,0,1,9,2,6,14386.4,32.657714,485
0,1,0,0,0,1,0,0,1,8,3,6,1651346.6,25.423397,2005
0,0,0,0,0,0,0,0,1,6,3,6,12054.6,32.713333,491
0,0,0,0,0,0,0,0,1,3,2,18,10422.6,33.97,515
0,0,0,0,0,0,0,1,0,2,1,18,10233.4,35.643091,181
0,0,0,0,0,0,0,0,0,1,1,18,10330.6,34.278,72
1,1,0,0,1,0,0,0,0,1,1,18,14846.2,31.652857,1044
0,0,0,0,0,0,0,0,0,1,2,18,10373.0,34.169455,81
0,1,0,0,0,1,0,1,0,1,1,18,224713.8,25.853438,2232
0,1,0,0,0,1,0,0,0,1,1,18,225432.6,25.810571,1800
0,0,0,0,0,0,0,1,1,2,1,18,10329.4,35.62,721
0,1,0,0,1,0,0,0,1,2,2,18,9805.4,46.108444,1378
0,1,0,0,0,1,0,0,0,6,2,6,694163.2,25.727946,1778
1,1,0,0,1,0,0,1,1,1,1,18,14985.8,31.379714,1692
0,1,0,1,0,0,0,0,1,1,1,18,25019.6,30.2662,3636
0,0,0,0,0,0,0,0,0,4,2,18,10892.6,33.558546,84
0,0,0,0,0,0,0,0,1,6,1,18,11472.2,32.924848,509
0,1,0,0,0,1,0,1,0,1,1,6,218113.8,26.649652,2196
0,0,0,0,0,0,0,0,1,3,1,18,10447.6,33.826,506
0,1,0,1,0,0,0,0,0,2,1,18,26893.6,29.765128,3529
0,1,0,0,0,1,0,0,0,9,1,18,1652225.2,25.338192,1808
0,1,0,0,0,1,0,1,0,4,1,18,701038.0,25.539528,2235
0,1,0,0,0,1,0,0,1,2,1,6,220019.0,26.459311,1981
0,1,0,0,0,0,1,1,0,1,1,18,67616.4,27.131773,2772
0,1,0,0,0,1,0,0,1,9,1,18,1656561.8,25.33363,2024
0,1,0,0,1,0,0,1,0,2,2,18,9645.6,46.944,1162
0,1,0,0,1,0,0,1,0,1,2,18,9702.2,46.794,1161
0,1,0,0,0,1,0,0,1,9,1,6,1651931.8,25.420098,1988
