MRE-,ACC+,PRED40+,N_estimators,criterion,Min_sample_leaves,Min_impurity_decrease,Max_depth,_source_row
0.0,0.9689339538324035,1.0,40,absolute_error,3,3.75,15,8111
0.0,0.9689339538324035,1.0,30,absolute_error,7,3.5,19,1124
0.0,0.9689339538324035,1.0,20,absolute_error,8,4.0,14,4217
0.0,0.9689339538324035,1.0,30,absolute_error,3,7.75,14,7713
0.0,0.9689339538324035,1.0,20,absolute_error,9,8.0,7,8790
0.0,0.9689339538324035,1.0,10,absolute_error,5,3.0,15,4630
0.0,0.9689339538324035,1.0,10,absolute_error,9,2.75,14,5380
0.0,0.9689339538324035,1.0,20,absolute_error,12,4.5,4,4842
0.0,0.9689339538324035,1.0,30,absolute_error,20,1.5,12,6808
0.0,0.9689339538324035,1.0,20,absolute_error,14,3.0,5,6708
0.0,0.9689339538324035,1.0,10,absolute_error,13,5.5,2,8228
0.0,0.9689339538324035,1.0,40,absolute_error,9,4.75,5,9898
0.0,0.9689339538324035,1.0,10,absolute_error,8,4.5,5,8486
0.0,0.9689339538324035,1.0,10,absolute_error,10,3.75,5,1215
0.0,0.9689339538324035,1.0,50,absolute_error,11,3.5,4,1317
0.0,0.9689339538324035,1.0,30,absolute_error,9,2.75,1,7507
0.3035248041775457,1.0,0.0,40,absolute_error,7,0.0,14,905
0.0,0.9689339538324035,1.0,10,absolute_error,8,1.0,14,3010
0.0,0.9689339538324035,1.0,20,absolute_error,7,7.75,2,4146
0.0,0.9689339538324035,1.0,30,absolute_error,6,5.5,12,8805
0.0,0.9689339538324035,1.0,20,absolute_error,14,1.25,14,7187
0.0,0.9689339538324035,1.0,10,absolute_error,7,1.5,14,6672
0.0,0.9689339538324035,1.0,20,absolute_error,12,5.0,10,9193
0.0,0.9689339538324035,1.0,20,absolute_error,7,6.25,14,7849
0.0,0.9689339538324035,1.0,10,absolute_error,7,5.25,13,8152
0.0,0.9689339538324035,1.0,30,absolute_error,13,6.0,11,9303
0.0,0.9689339538324035,1.0,30,absolute_error,5,3.5,12,7482
0.0,0.9689339538324035,1.0,10,absolute_error,13,7.5,13,7420
0.0,0.9689339538324035,1.0,20,absolute_error,13,1.75,13,2765
0.0,0.9689339538324035,1.0,10,absolute_error,13,1.25,2,7871
0.0,0.9689339538324035,1.0,10,absolute_error,6,1.5,20,5084
0.0,0.9689339538324035,1.0,30,absolute_error,15,3.75,2,4106
0.0,0.9689339538324035,1.0,20,absolute_error,12,7.75,2,2353
0.0,0.9689339538324035,1.0,20,absolute_error,6,1.25,10,1717
0.0,0.9689339538324035,1.0,10,absolute_error,13,7.25,13,7875
0.0,0.9689339538324035,1.0,30,absolute_error,15,0.5,2,9104
0.0,0.9689339538324035,1.0,20,absolute_error,13,7.0,5,5635
0.0,0.9689339538324035,1.0,30,absolute_error,17,3.5,1,5156
0.0,0.9689339538324035,1.0,10,absolute_error,4,6.75,13,9097
0.0,0.9689339538324035,1.0,30,absolute_error,14,3.75,11,2232
0.0,0.9689339538324035,1.0,10,absolute_error,9,2.0,10,2598
0.0,0.9689339538324035,1.0,20,absolute_error,2,5.75,3,4635
0.0,0.9689339538324035,1.0,20,absolute_error,16,1.25,18,5073
0.0,0.9689339538324035,1.0,10,absolute_error,20,4.0,19,8660
0.0,0.9689339538324035,1.0,30,absolute_error,18,2.0,17,4897
0.0,0.9689339538324035,1.0,20,absolute_error,14,9.0,17,6295
0.0,0.9689339538324035,1.0,10,absolute_error,16,2.75,14,6320
0.0,0.9689339538324035,1.0,20,absolute_error,17,8.75,5,6134
0.0,0.9689339538324035,1.0,20,absolute_error,17,9.5,18,6974
0.0,0.9689339538324035,1.0,10,absolute_error,17,0.75,17,2435
0.0,0.9689339538324035,1.0,20,absolute_error,17,2.0,3,1402
0.0,0.9689339538324035,1.0,10,absolute_error,16,2.5,19,3128
0.0,0.9689339538324035,1.0,10,absolute_error,19,2.5,19,9507
0.0,0.9689339538324035,1.0,50,absolute_error,13,2.75,20,3883
0.0,0.9689339538324035,1.0,20,absolute_error,18,5.75,20,9409
