DATA, AAX, ACAP, AEXP, BX, CPLx, DOCU, ETAT, FLEx, KLOC, LTEx, PCAP, PCON, PLEx, PMAT, PRX, PREC, PVOL, RELY, RESL, RUSE, SCED, SITE, STOR, TEAM, TIME, TOOL, EFFORT-, MONTHS-, DEFECTS-, RISKS-,_source_row
3.855,3.058,2.705,2.757,3.064,5.489,2.13,1.211,3.334,82.078,3.63,3.0,2.188,3.0,2.405,4.848,1.8,2.0,5.0,2.355,2.399,2.956,3.0,3.465,2.278,3.467,2.871,339.183,18.921,4784.087,1.072,46
2.027,5.825,2.781,2.2,8.159,5.049,2.785,1.466,3.017,87.8,3.695,3.0,2.528,3.0,3.343,3.194,1.033,2.0,5.0,2.376,2.536,1.196,3.0,3.226,2.479,3.202,2.891,372.885,16.374,5123.502,3.485,20
2.984,4.349,2.599,2.971,4.62,5.441,3.306,5.346,3.39,89.088,3.486,3.0,2.907,3.0,2.22,3.372,1.223,2.0,5.0,2.679,2.132,1.501,3.0,3.436,2.72,5.421,2.219,476.555,17.746,4836.574,4.021,2
2.244,3.477,2.645,2.21,5.677,5.369,3.067,3.33,4.77,79.672,3.63,3.0,2.495,3.0,1.755,1.348,1.559,2.0,5.0,1.451,2.384,1.454,3.0,3.65,2.45,4.235,2.316,546.303,18.609,10956.116,5.362,63
2.12,1.587,2.446,2.069,5.911,5.527,2.75,3.548,3.186,75.026,3.781,3.0,2.528,3.0,1.992,2.389,1.696,2.0,5.0,2.037,2.616,2.467,3.0,3.29,2.044,4.226,2.804,439.748,20.01,8009.722,2.413,54
2.094,2.656,2.943,2.098,9.921,5.744,2.771,2.608,2.879,89.725,3.627,3.0,2.969,3.0,1.598,3.05,1.983,2.0,5.0,2.055,2.068,2.055,3.0,3.584,2.162,3.836,2.835,387.895,19.54,7726.683,2.413,48
2.208,4.283,2.844,2.585,3.46,5.128,3.117,5.006,4.535,82.149,2.868,3.0,2.844,3.0,1.069,4.602,1.682,2.0,5.0,1.036,3.286,2.813,3.0,3.565,2.664,3.74,2.422,444.284,20.647,4052.503,2.413,58
2.075,1.788,2.731,2.623,6.28,5.321,2.075,4.287,2.97,81.025,3.674,3.0,2.122,3.0,3.042,1.278,1.586,2.0,5.0,2.738,2.827,2.629,3.0,4.84,2.485,3.709,2.94,415.465,19.543,6506.415,1.072,25
2.114,4.511,2.723,2.833,7.94,5.402,3.12,1.486,4.277,76.958,3.708,3.0,2.847,3.0,2.476,2.798,1.732,2.0,5.0,2.923,2.891,2.675,3.0,4.618,2.338,3.41,2.052,379.901,19.164,4486.973,1.072,49
3.235,5.956,2.879,2.821,5.963,5.268,2.025,1.633,4.283,78.114,2.583,3.0,2.725,3.0,3.129,1.513,1.788,2.0,5.0,2.8,2.412,1.256,3.0,4.306,2.242,3.234,2.139,489.074,17.336,6568.43,4.021,35
2.022,1.57,2.993,2.879,6.431,5.213,2.438,5.504,3.804,75.204,3.772,3.0,2.324,3.0,3.051,2.584,1.321,2.0,5.0,2.16,2.904,1.194,3.0,3.3,2.953,4.105,2.87,394.909,16.353,4980.29,3.485,45
2.424,5.85,2.902,2.464,3.063,5.309,3.926,5.574,4.62,77.21,2.262,3.0,2.58,3.0,3.985,5.377,1.639,2.0,5.0,2.554,2.386,1.355,3.0,3.006,2.362,3.937,2.251,562.276,17.89,1927.141,4.021,47
