DATA, AAX, ACAP, AEXP, BX, CPLx, DOCU, ETAT, FLEx, KLOC, LTEx, PCAP, PCON, PLEx, PMAT, PRX, PREC, PVOL, RELY, RESL, RUSE, SCED, SITE, STOR, TEAM, TIME, TOOL, EFFORT-, MONTHS-, DEFECTS-, RISKS-,_source_row
4.672,5.423,4.522,4.18,3.644,3.471,2.716,5.745,2.508,7.548,1.955,4.765,1.65,3.735,2.384,3.421,2.583,4.537,3.359,3.096,2.587,3.0,5.466,3.022,3.873,3.148,2.0,20.242,9.192,80.098,0.0,1840
3.906,1.841,4.572,2.728,9.67,5.163,1.028,1.561,2.141,190.455,1.765,4.044,4.74,3.393,2.608,1.841,4.627,3.885,3.733,4.257,4.151,3.0,1.304,3.443,1.115,3.181,2.0,773.8,28.18,19159.962,1.072,6648
4.637,1.073,4.702,3.48,9.26,4.558,1.113,5.314,4.214,118.038,3.6,3.806,4.261,3.552,2.108,2.37,2.028,4.474,3.184,2.739,5.677,3.0,1.711,3.177,2.86,3.233,2.0,462.588,24.074,10407.55,0.268,7767
2.3,2.127,4.475,2.766,9.506,3.025,3.373,1.519,1.769,8.419,3.975,4.451,4.613,3.309,2.874,3.965,2.613,4.083,3.89,4.948,2.02,3.0,2.205,3.984,4.848,3.835,2.0,39.793,11.126,55.369,0.0,8381
4.337,3.046,3.646,4.949,9.364,5.068,3.801,1.157,3.168,368.665,2.455,3.037,2.199,3.54,2.372,3.781,3.477,3.508,3.033,1.681,5.886,3.0,2.533,3.906,2.404,3.919,2.0,2592.964,41.203,32061.244,0.0,705
4.012,1.338,4.759,1.319,5.873,3.693,2.113,1.221,4.364,318.867,1.481,4.257,1.083,3.249,2.59,1.005,1.35,2.042,4.944,1.087,5.111,3.0,1.325,3.73,4.46,3.193,2.0,2483.265,40.176,60266.159,0.536,2043
3.281,3.58,3.079,4.836,8.528,3.697,1.936,3.535,4.377,373.056,3.942,4.441,2.753,1.31,2.947,1.449,1.371,4.687,3.476,1.659,5.988,3.0,3.378,3.699,3.963,3.964,2.0,1645.753,35.324,20497.318,0.0,7225
4.207,4.497,4.31,3.502,7.528,5.732,1.59,1.303,3.163,405.675,2.786,3.538,2.365,3.067,2.293,1.359,4.561,4.247,3.342,2.27,4.004,3.0,2.107,3.777,2.729,3.218,2.0,1884.924,36.642,42398.187,0.0,8034
3.78,1.386,3.979,4.168,9.045,3.197,2.081,4.576,4.42,267.354,1.637,4.489,2.978,2.978,2.672,2.335,2.375,4.178,4.709,3.063,4.199,3.0,3.107,3.885,2.852,3.79,2.0,1109.104,30.996,13414.346,0.0,4733
4.545,5.389,3.016,3.334,9.982,5.722,1.969,4.429,2.976,213.153,1.376,3.656,3.199,3.794,2.625,2.206,4.625,2.02,4.503,1.271,5.069,3.0,2.757,3.89,3.395,3.023,2.0,886.288,28.704,10231.761,0.268,7956
