Spouts,Max_spout,Sorters,Emit_freq,Chunk_size,Message_size,Throughput+,Latency-,_source_row
3,10000,9,60,1000000.0,100000.0,203000.0,981.1,56
3,1000,12,120,2000000.0,100000.0,141000.0,177.87,15
1,10000,12,300,1000000.0,100000.0,158000.0,392.44,11
1,1000,9,120,2000000.0,10000.0,80392.0,97.126,31
3,1000,9,10,1000000.0,100000.0,129000.0,174.47,35
3,1000,3,60,2000000.0,100000.0,142000.0,191.95,25
3,1000,6,300,2000000.0,100000.0,138000.0,175.02,1
1,10000,3,60,2000000.0,100000.0,151000.0,324.74,24
1,100,6,10,2000000.0,100000.0,38567.0,18.625,23
3,10000,6,120,2000000.0,100000.0,213000.0,1036.2,9
3,100,12,120,2000000.0,100000.0,40868.0,66.741,10
3,10000,6,10,2000000.0,100000.0,205000.0,1022.0,3
3,10000,15,120,2000000.0,100000.0,223000.0,1103.7,29
1,10000,12,10,2000000.0,100000.0,167000.0,398.35,32
1,10,6,60,2000000.0,10000.0,37801.0,2.0138,49
1,100,12,10,2000000.0,10000.0,40760.0,20.007,46
3,100,6,120,2000000.0,100000.0,40800.0,64.873,27
3,10000,6,300,1000000.0,100000.0,201000.0,961.5,17
1,1000,9,300,1000000.0,10000.0,79579.0,86.746,28
1,10,6,300,2000000.0,10000.0,34558.0,1.9466,42
3,10000,15,120,1000000.0,100000.0,212000.0,1033.9,33
1,10000,6,300,1000000.0,100000.0,145000.0,310.09,8
3,10000,6,120,10000000.0,100000.0,217000.0,1047.8,16
