MRE-,ACC+,PRED40+,N_estimators,criterion,Min_sample_leaves,Min_impurity_decrease,Max_depth,_source_row
0.0,0.5231591448931117,1.0,90,absolute_error,7,4.75,3,7810
0.0,0.5231591448931117,1.0,10,absolute_error,5,4.5,6,3207
0.0,0.5231591448931117,1.0,40,absolute_error,7,4.75,5,750
0.0,0.5231591448931117,1.0,10,absolute_error,8,4.5,5,8486
0.0,0.5231591448931117,1.0,10,absolute_error,10,3.75,5,1215
0.0,0.5231591448931117,1.0,80,absolute_error,8,4.0,5,1424
0.0,0.5231591448931117,1.0,90,absolute_error,7,6.0,4,5529
0.0,0.5231591448931117,1.0,10,absolute_error,6,3.75,3,6234
0.0,0.5231591448931117,1.0,20,absolute_error,7,4.75,6,4971
0.0,0.5231591448931117,1.0,60,absolute_error,5,4.75,3,8346
