Culture,Criticality,Criticality Modifier,Initial Known,Inter-Dependency,Dynamism,Size,Plan,Team Size,Cost-,Score-,Idle-,_source_row
0.120451996541161,0.2980409318711648,0.0351540258490278,0.580993122447686,0.417672102542549,0.1334487398864813,0.0756141413731308,0.9028584422936446,0.6711378078618729,0.040412463,0.084753504,0.15625,11375
0.244027290867415,0.5393735513634297,0.6061262975952616,0.6282876204320782,0.5090646379376612,0.0057299814381907,0.2090083370173464,0.8260993254101742,0.1409098269726919,0.126964315,0.021138087,0.0,6212
0.2112306516020103,0.2171309201303843,0.2459387898244691,0.2682749416980302,0.6542328427696826,0.1062804136794607,0.1891828567006036,0.853333682056015,0.1834781883905696,0.041283978,0.07115914,0.0,12586
0.0601450688703166,0.3965508297243933,0.371061038166965,0.937869640293192,0.611054480905088,0.0598461289953197,0.1402269977795508,0.6668247065507089,0.3453255508103887,0.092865876,0.032060266,0.0,6836
0.6070401804792218,0.624260799625256,0.0086496650757846,0.4926998118228904,0.417740351488158,0.2310154364340084,0.1600637498971291,0.4541799304078621,0.223931913565107,0.031338776,0.355725796,0.15625,1572
0.277348856861188,0.0802710528998019,0.0482829498337916,0.2194887333837925,0.5756145012578938,0.0210157673321637,0.2561343373666066,0.7600456970123589,0.3093203908307357,0.067219809,0.049143114,0.404411765,4924
0.0019663781712094,0.5584100441722063,0.7212259490154845,0.6047657420707435,0.3107885060164933,0.0731269646532394,0.1313505645288775,0.9145416737148048,0.4645884968461206,0.17502678,0.007382049,0.0,17629
0.0559538690682188,0.0794799043196798,0.1893612548079096,0.7851514778471436,0.558676518902706,0.0330503919382885,0.3510425497656352,0.9557208773841522,0.3701669902226021,0.094164345,0.024091993,0.0,11695
0.1616906840350594,0.2058286686514222,0.095479053199646,0.2279221584397652,0.426802310021138,0.0038013851807889,0.1481996278668557,0.447286419887776,0.0919040608410161,0.034451816,0.032906096,0.588235294,15487
0.0745851507675613,0.0601216520569312,0.0474519236830893,0.7395173833440486,0.1223977822093437,0.0143739830939575,0.1561193400125391,0.9973833074386552,0.3253483190208874,0.041094213,0.037596663,0.441176471,14875
0.3171176278973819,0.1049995322764224,0.574903328580648,0.7267765230770274,0.598859548138929,0.0287764946486953,0.1223495780216085,0.9553733330741784,0.3950810215960919,0.082196166,0.060973855,0.0,17614
0.2118194869151434,0.0946981188137183,0.1409217189969703,0.3923004184196078,0.434794892234333,0.0592011176019173,0.4520329670534472,0.8070974592408046,0.8070298554676212,0.087987975,0.042346025,0.0,698
0.2530093276582096,0.0419979204418485,0.2216647941225614,0.977495342353114,0.6615267127131017,0.0066604885146215,0.0105623315282514,0.8358568994035729,0.013441672508308,0.048699775,0.025166522,0.817307692,16433
0.3145733362265088,0.6609603178490425,0.0112237424770936,0.8267429681375555,0.2933612422574725,0.1360621474916185,0.0091516327781472,0.6778991218452356,0.0900372562027279,0.032504739,0.11455266,0.0,6932
0.096638957218911,0.205419819756345,0.7326940538525467,0.8725082796501746,0.5435635762312873,0.1002092455864965,0.1758857181910346,0.6953232491790008,0.356545556268133,0.134336895,0.009559669,0.0,9909
0.2384718036956112,0.0614430105149451,0.1705842419339019,0.9740472141707796,0.3133578507412816,0.0129107851257387,0.4421526503572066,0.413716152769617,0.4170200191926876,0.068489149,0.042297452,0.3125,19475
0.290737966260122,0.5781018789422292,0.0065456093768243,0.8087969852315466,0.2950297697637216,0.193220429155678,0.2495188955092137,0.9047988823958614,0.1212545878360236,0.026505293,0.162157622,0.454545455,8121
0.0390394346771487,0.4627227794227532,0.9985158995194542,0.9682860770436924,0.2131442143491552,4.013572088834572e-05,0.0927609035677262,0.7248523061970861,0.2324603731679557,0.157802306,0.008340964,0.340909091,7568
0.0283898402336677,0.044152420274652,0.7673029257423288,0.1045736565713625,0.6348622615723861,0.0869422089467166,0.2089608293272542,0.9223832506424512,0.0905939619754847,0.069064437,0.049718911,0.25,17436
0.0984950111665892,0.270039175167978,0.1172662305835058,0.6309726853733855,0.2737687577434887,0.0727633524895353,0.0802797797090637,0.4842529754491851,0.4996862440720608,0.061738641,0.059479619,0.277777778,12323
0.2532474786163012,0.4014775046698299,0.0958645373444236,0.1033671448074934,0.4473606123667523,0.135225361064438,0.2100829847124923,0.3642747927237419,0.0315047789632844,0.052522368,0.016906437,0.535714286,7052
0.1354689501293156,0.0390235244385959,0.2460960035567616,0.1054917591511443,0.2753948414457112,0.073928752309916,0.3688268444492472,0.7460600684792499,0.0911211853950137,0.068727571,0.064618805,0.212765957,18622
