DATA, AAX, ACAP, AEXP, BX, CPLx, DOCU, ETAT, FLEx, KLOC, LTEx, PCAP, PCON, PLEx, PMAT, PRX, PREC, PVOL, RELY, RESL, RUSE, SCED, SITE, STOR, TEAM, TIME, TOOL, EFFORT-, MONTHS-, DEFECTS-, RISKS-,_source_row
3.456,4.952,4.151,4.478,3.949,1.993,1.667,1.532,2.677,11.778,2.307,4.736,4.161,2.601,2.481,3.351,1.561,3.0,3.383,1.481,2.315,3.0,4.07,3.761,1.698,3.204,2.0,20.753,9.448,283.581,1.072,884
3.947,1.011,4.218,4.63,6.797,1.724,2.432,3.989,2.863,311.01,1.473,3.803,2.463,3.144,2.679,3.437,2.487,3.828,1.499,1.088,2.321,3.0,1.843,3.5,2.11,3.708,2.0,989.158,31.045,24037.018,2.681,301
4.142,1.95,3.361,4.097,8.772,1.602,3.243,3.249,2.371,260.442,1.073,3.1,1.029,3.875,2.981,1.871,1.03,3.881,1.782,1.683,5.296,3.0,2.309,3.713,1.217,3.458,2.0,1344.055,35.282,47745.029,1.609,5617
4.661,1.46,3.402,2.579,4.29,1.08,2.098,1.354,4.716,211.647,1.224,4.88,1.817,2.924,2.489,1.306,3.31,4.411,1.282,1.848,2.024,3.0,1.004,3.601,2.237,3.761,2.0,723.815,27.008,44724.696,2.413,7570
3.171,2.68,4.826,4.979,7.588,1.376,4.978,5.24,1.612,147.941,2.715,4.486,1.476,2.748,2.685,1.912,3.625,4.389,1.935,2.019,2.672,3.0,1.596,3.804,3.193,3.518,2.0,412.438,23.121,5031.098,3.217,4665
3.569,5.039,3.794,3.698,4.95,3.912,2.45,2.581,4.136,324.413,1.634,4.968,4.12,2.661,2.824,1.527,4.594,4.029,1.605,1.674,3.616,3.0,2.715,3.447,1.875,3.177,2.0,722.273,27.001,17516.711,1.877,8372
3.753,5.745,4.844,4.772,5.737,1.229,1.538,3.79,4.258,88.602,1.235,4.378,1.125,3.005,2.558,1.465,3.109,2.634,1.269,4.679,2.266,3.0,1.835,3.342,4.482,3.37,2.0,201.243,17.832,2484.165,3.217,3453
3.772,3.015,4.934,4.243,9.569,3.396,2.505,1.52,4.437,186.928,1.611,3.49,2.019,2.269,2.913,3.631,3.457,2.648,1.214,3.708,3.836,3.0,2.094,3.378,4.136,3.725,2.0,358.918,21.156,8102.14,1.877,9323
3.155,2.045,4.812,3.927,7.003,3.482,2.144,2.557,2.511,80.414,1.784,4.349,3.099,3.125,2.972,5.317,1.136,4.319,2.144,2.091,2.333,3.0,5.149,3.557,2.021,3.386,2.0,187.016,18.513,2117.74,1.072,7184
4.359,3.275,4.214,4.077,9.457,1.23,1.52,1.892,1.087,140.411,2.845,4.913,3.628,2.614,2.362,2.224,1.083,2.705,1.353,1.454,3.346,3.0,1.427,3.413,1.16,3.701,2.0,283.648,21.985,13013.72,3.753,4595
