algorithm,dataset,reference_rows,hv,spread,igd,mdh
AGEMOEA,all_players.csv,4,0.7326851851851853,0.6234992988134197,0.25774385874680095,0.7474537469327864
AGEMOEA,BankChurners.csv,34,1.2417477693952426,0.4778429557866977,0.0,0.8358898028184858
AGEMOEA,Data_COVID19_Indonesia.csv,22,0.32165658643612116,0.4690885878055092,0.0,1.0253703415127655
AGEMOEA,Loan.csv,38,0.46020912013135573,0.7945403892217024,0.0,1.2787523683702435
AGEMOEA,pom3a.csv,11,0.9533827845700554,0.7372933657965544,0.0,0.7736364348712447
AGEMOEA,pom3b.csv,12,1.2797441256805657,0.6572554870470404,0.0,0.5515411750021503
AGEMOEA,pom3c.csv,15,1.1728152333929602,0.7734175391827877,0.0,0.7729352773207343
AGEMOEA,Scrum100k.csv,23,0.7589942279942281,0.7133920341747768,0.0,0.9369180316520326
AGEMOEA,SS-N.csv,8,0.4823847425854073,0.591827524634919,0.0,0.9266918667104165
AGEMOEA,SS-W.csv,2,0.2100000000000002,1.4142135623730951,0.0,1.0
AGEMOEA,SS-X.csv,3,0.766773683770324,1.0004235437619207,0.0,0.7910913837151691
AGEMOEA2,all_players.csv,4,0.6727777777777779,0.6691136056742861,0.2704229249446905,0.7303534984182551
AGEMOEA2,BankChurners.csv,34,0.7178196428180356,0.637877974720579,0.05164628016494729,0.9444612814016424
AGEMOEA2,Data_COVID19_Indonesia.csv,22,0.35084256220521204,0.5527620984900068,0.029601168035181546,1.0300015140410832
AGEMOEA2,Loan.csv,38,0.6496365685354389,0.6709117313929984,0.30547763014791324,1.1485397364999976
AGEMOEA2,pom3a.csv,11,1.1516995088958049,0.5632035851530086,0.08700955575631024,0.6122512954006794
AGEMOEA2,pom3b.csv,12,1.2690372853876777,0.8132322936882108,0.32204601412345174,0.5535401568111787
AGEMOEA2,pom3c.csv,15,1.1515803912506728,0.6188461855123758,0.22122879329134754,0.6374952697487803
AGEMOEA2,Scrum100k.csv,23,0.7693694083694088,0.7048511169615052,0.03154171884899979,0.935179588632561
AGEMOEA2,SS-N.csv,8,1.1666524499026651,0.631369062784289,0.06983090847179324,0.5234614159325298
AGEMOEA2,SS-W.csv,2,0.759025020873165,1.0969860672763576,0.2745412416676943,0.7254874895634176
CTAEA,all_players.csv,4,0.17000000000000012,0.6351026865764342,0.6365498660802702,1.1113488892001462
CTAEA,BankChurners.csv,34,0.9561552787931842,0.34026075006251744,0.00813528415047866,0.9188061068234146
CTAEA,Data_COVID19_Indonesia.csv,22,0.3407927400574651,0.7629609944767723,0.025469553619153772,1.1024143475135306
CTAEA,Loan.csv,38,0.3818523844870056,0.560992056413614,0.1631202054215708,1.2753397819636747
CTAEA,pom3a.csv,11,1.0132817665684595,0.6135396965495266,0.18066473223212426,0.6372756515101248
CTAEA,pom3b.csv,12,1.2763995784118252,0.6593501779706445,0.27110408744795217,0.4833110939107102
CTAEA,pom3c.csv,15,1.1707987235630761,0.7104614989685728,0.11092561573780135,0.6866962056048869
CTAEA,Scrum100k.csv,23,0.7381184371184375,0.6496567001283065,0.06379813606935364,0.9134844239154912
CTAEA,SS-N.csv,8,0.7066967156024844,0.7504226499643841,0.2275340791297458,0.8105040577039349
CTAEA,SS-W.csv,2,0.6112904943031009,0.6624678781127002,0.4435258315211559,0.809584900050366
CTAEA,SS-X.csv,3,0.014878235570196555,0.04015856181920506,1.2953709229587957,1.3971116284015943
MOEAD,all_players.csv,4,0.07205405405405413,0.54642847287441,0.8598624282644879,1.229662133612638
MOEAD,BankChurners.csv,34,0.6341367685658734,0.2714789116441661,0.1153805070486359,0.8608525773058109
MOEAD,Data_COVID19_Indonesia.csv,22,0.23633436293211577,0.8211861334142744,0.0704021549448685,1.2248712211746906
MOEAD,Loan.csv,38,0.4638809001060933,0.7154164757095103,0.5596861978145451,1.0586180135537686
