DATA, AAX, ACAP, AEXP, BX, CPLx, DOCU, ETAT, FLEx, KLOC, LTEx, PCAP, PCON, PLEx, PMAT, PRX, PREC, PVOL, RELY, RESL, RUSE, SCED, SITE, STOR, TEAM, TIME, TOOL, EFFORT-, MONTHS-, DEFECTS-, RISKS-,_source_row
2.698,4.557,2.996,2.949,7.025,5.057,3.583,5.155,4.289,103.526,3.934,3.0,2.993,3.0,3.968,5.9,1.886,2.0,5.0,2.58,2.288,2.221,3.0,4.901,2.323,4.289,2.051,707.029,22.071,1781.743,1.072,1783
3.664,5.508,2.679,2.904,9.48,5.042,2.27,4.002,3.412,85.023,3.991,3.0,2.953,3.0,2.466,5.42,1.74,2.0,5.0,2.12,3.872,2.487,3.0,3.394,2.395,3.86,2.931,392.753,19.131,2430.783,1.072,1114
2.263,5.746,2.83,2.075,7.234,5.648,2.235,4.224,3.796,77.579,3.671,3.0,2.97,3.0,3.614,3.756,1.192,2.0,5.0,1.396,2.407,1.694,3.0,3.838,2.275,3.145,2.524,492.132,17.808,3535.55,3.485,9378
3.095,5.161,2.294,2.967,6.297,5.447,2.424,5.915,4.732,82.095,3.067,3.0,2.177,3.0,3.621,3.808,1.459,2.0,5.0,1.957,2.313,1.802,3.0,3.252,2.509,3.935,2.894,506.398,17.751,3292.297,3.485,9401
3.273,5.6,2.377,2.605,8.852,5.252,2.628,5.098,2.467,89.999,3.493,3.0,2.433,3.0,3.948,5.671,1.543,2.0,5.0,2.409,2.427,1.517,3.0,3.456,2.439,4.114,2.461,601.661,18.752,2518.476,3.485,5253
2.289,5.233,2.821,2.976,7.696,5.377,2.822,5.359,4.671,83.685,3.791,3.0,2.63,3.0,2.062,4.298,1.121,2.0,5.0,2.137,3.678,1.456,3.0,3.083,2.315,3.44,2.125,499.377,17.666,3491.285,4.021,3554
2.45,4.955,2.886,2.08,3.87,5.084,2.875,5.878,2.746,89.735,3.112,3.0,2.135,3.0,3.684,5.098,1.401,2.0,5.0,2.801,2.53,1.197,3.0,3.093,2.434,3.206,2.178,533.494,17.579,2662.408,3.485,3628
2.022,1.57,2.993,2.879,6.431,5.213,2.438,5.504,3.804,75.204,3.772,3.0,2.324,3.0,3.051,2.584,1.321,2.0,5.0,2.16,2.904,1.194,3.0,3.3,2.953,4.105,2.87,394.909,16.353,4980.29,3.485,9924
3.855,3.058,2.705,2.757,3.064,5.489,2.13,1.211,3.334,82.078,3.63,3.0,2.188,3.0,2.405,4.848,1.8,2.0,5.0,2.355,2.399,2.956,3.0,3.465,2.278,3.467,2.871,339.183,18.921,4784.087,1.072,3659
2.424,5.85,2.902,2.464,3.063,5.309,3.926,5.574,4.62,77.21,2.262,3.0,2.58,3.0,3.985,5.377,1.639,2.0,5.0,2.554,2.386,1.355,3.0,3.006,2.362,3.937,2.251,562.276,17.89,1927.141,4.021,3464
