applicationDate,Age,AnnualIncome+,CreditScore,employmentStatus,educationLevel,Experience+,LoanAmount+,LoanDuration-,maritalStatus,NumberOfDependents,homeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,loanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore-,_source_row
4/2/59,47,485341,620,Employed,Bachelor,25,35042,48,Widowed,2,Own,270,0.718531386,6,0,0.168096677,0,Auto,0,18,26,3588,659,86133,85134,24935.83333,0.769073683,4,4581,0.220042,0.23455672,1131.914177,0.056220867,1,37.6,15066
2/8/22,47,422480,518,Employed,Master,27,50214,84,Divorced,1,Rent,397,0.145101012,1,0,0.248193425,0,Home,0,29,10,1756,2081,55293,9842,17952.58333,0.632131932,2,45451,0.316214,0.257883351,1296.417456,0.09432723,1,39.2,1499
8/26/36,29,285567,566,Employed,Bachelor,8,12697,120,Married,1,Mortgage,317,0.047752283,1,1,0.329852933,0,Debt Consolidation,0,21,5,1596,961,8370,29284,23797.25,0.984679193,5,9951,0.284697,0.301162799,335.8067143,0.027432023,1,42.4,6812
5/3/27,64,300000,568,Employed,Bachelor,40,27514,120,Divorced,0,Mortgage,480,0.214604959,4,3,0.57823236,0,Home,0,19,5,4262,1696,25651,9922,25000.0,0.890974417,4,15729,0.298514,0.316410119,758.8818351,0.049555273,1,46.4,3409
10/24/56,57,135373,467,Employed,Associate,34,22673,96,Married,3,Own,452,0.288229509,2,0,0.41449277,0,Education,1,22,8,12374,888,13262,7169,11281.08333,0.897687339,3,6093,0.324173,0.350471362,706.7572638,0.102716843,0,61.0,14176
8/6/50,70,206311,555,Employed,Master,48,54562,108,Married,2,Own,739,0.130493413,2,2,0.241046328,0,Education,0,27,6,539,746,28534,96540,17192.58333,0.977348019,3,2685,0.322062,0.347569875,1656.179216,0.139314678,0,51.0,11905
11/13/45,58,236765,578,Employed,Master,37,11932,60,Widowed,1,Rent,185,0.112394488,3,0,0.577481431,0,Education,0,23,14,8848,2130,25640,4850,19730.41667,0.873788228,3,20790,0.227932,0.23843325,342.1751294,0.026718905,1,44.0,10178
4/14/31,70,284444,567,Employed,Bachelor,50,20701,36,Divorced,2,Mortgage,177,0.192008471,5,0,0.571151916,0,Home,0,14,11,641,1408,69497,39927,23703.66667,0.832256274,2,29570,0.222201,0.197142268,766.3124014,0.039796054,1,44.0,4851
9/24/55,67,300000,631,Employed,Doctorate,45,33117,84,Divorced,1,Own,719,0.232527947,3,1,0.263670621,0,Auto,0,23,12,4569,792,31861,194006,25000.0,0.92328342,7,1395,0.242617,0.264746169,869.7195878,0.063548784,1,37.6,13780
11/4/53,41,125879,539,Employed,Master,18,28583,48,Married,3,Mortgage,537,0.381554954,4,2,0.267908819,1,Other,1,25,27,497,969,48930,80542,10489.91667,0.631904281,4,6180,0.254083,0.264005071,970.1934245,0.14368021,0,68.0,13091
6/25/41,40,102717,580,Employed,Associate,16,16886,108,Married,1,Own,994,0.359990267,2,0,0.219001707,0,Home,1,30,8,2625,6209,24674,11578,8559.75,0.77078358,4,13096,0.271886,0.244389285,387.8539467,0.161436251,0,58.0,8576
7/19/71,48,170514,579,Employed,Bachelor,28,38884,120,Married,0,Own,478,0.343997302,3,0,0.306765221,0,Home,0,28,24,315,367,124346,21661,14209.5,0.515175008,3,102685,0.304384,0.320972013,1085.774899,0.110051367,1,38.4,19557
7/29/32,42,228457,630,Employed,Bachelor,20,13401,48,Married,5,Own,339,0.220422701,4,2,0.45077617,0,Education,0,13,28,561,828,66828,62923,19038.08333,0.72869886,6,3905,0.193401,0.223604674,424.8398288,0.040121677,1,40.8,5323
12/22/44,48,224527,528,Employed,Bachelor,26,14303,96,Single,1,Own,272,0.510081917,3,0,0.224199096,0,Debt Consolidation,0,32,22,4621,2572,69826,65237,18710.58333,0.845248433,7,4589,0.285303,0.295532109,389.9807273,0.035380015,1,40.8,9852
4/2/52,30,235764,556,Employed,Bachelor,7,26180,108,Divorced,0,Own,465,0.303428426,2,0,0.134198822,0,Education,0,23,14,1849,676,40492,22720,19647.0,0.85792527,6,17772,0.29318,0.298354369,700.2683762,0.059310245,1,38.4,12510
10/3/41,42,286856,578,Employed,Bachelor,18,7735,48,Married,1,Mortgage,165,0.195101473,3,1,0.408208755,0,Other,0,21,13,1340,367,99360,31760,23904.66667,0.784092657,7,67600,0.213735,0.186904119,230.0156815,0.016524626,1,40.8,8676
7/22/21,43,300000,607,Employed,Bachelor,16,29361,60,Married,3,Mortgage,104,0.73975133,2,0,0.174417588,1,Debt Consolidation,1,26,15,1514,786,105193,123162,25000.0,0.892645988,5,3822,0.230861,0.247109143,856.8151962,0.038432608,1,52.0,1298
7/28/46,42,205609,590,Employed,Bachelor,20,121782,84,Married,0,Mortgage,767,0.363718485,3,0,0.155298691,0,Education,0,26,19,1315,546,31673,177479,17134.08333,0.826319903,8,9550,0.351782,0.29498853,3441.164656,0.245601972,0,48.0,10435
3/16/27,19,105391,554,Employed,Bachelor,0,18534,60,Widowed,1,Own,490,0.104278109,3,2,0.395152427,0,Other,1,23,24,4492,350,79255,19366,8782.583333,0.817191501,2,59889,0.246534,0.259549255,554.4221893,0.118919702,0,56.0,3361
8/4/32,19,118776,550,Employed,Associate,0,12656,120,Married,0,Own,422,0.115247607,3,0,0.387004794,0,Home,1,21,21,4425,1536,83408,16528,9898.0,0.8650762,8,66880,0.292656,0.2341248,273.8730851,0.070304414,1,44.8,5329
10/21/59,51,248901,633,Employed,Master,29,31666,12,Single,1,Rent,306,0.252315472,3,0,0.403699836,0,Home,0,26,8,4879,3890,17567,22733,20741.75,0.563361609,3,4131,0.180166,0.175919928,2896.99342,0.154422526,1,41.6,15268
8/2/44,27,245401,517,Employed,Master,6,27973,36,Single,0,Rent,292,0.284990436,3,1,0.191584746,0,Education,0,22,16,4370,1985,116867,19294,20450.08333,0.830745231,4,97573,0.254473,0.248247129,1109.609956,0.068538105,1,36.8,9710
9/28/34,37,300000,502,Employed,Bachelor,15,25188,36,Married,4,Own,416,0.246675273,6,2,0.635726752,0,Debt Consolidation,0,26,13,2366,1865,186561,27334,25000.0,0.538808128,9,159227,0.259188,0.302205794,1072.315691,0.059532628,1,41.6,6114
8/30/58,19,300000,623,Unemployed,Bachelor,0,18283,24,Single,0,Rent,500,0.497994383,1,0,0.492607716,0,Debt Consolidation,0,35,10,7928,431,100935,17922,25000.0,0.700183991,6,83013,0.181783,0.182457038,914.9343657,0.056597375,1,42.4,14851
10/18/24,63,91632,505,Self-Employed,Associate,42,17804,72,Married,2,Mortgage,405,0.320266004,10,1,0.553773732,0,Debt Consolidation,1,29,5,1924,1370,174053,15451,7636.0,0.539896842,4,158602,0.280304,0.308078208,544.924552,0.124400806,0,64.0,2482
10/23/60,64,300000,621,Employed,Bachelor,41,49391,120,Divorced,3,Mortgage,338,0.194366984,6,1,0.250674036,0,Debt Consolidation,0,24,16,2688,286,95007,11077,25000.0,0.651651602,6,83930,0.293891,0.326017681,1397.900752,0.06943603,1,35.2,15636
12/23/29,51,333715,506,Employed,Bachelor,32,32528,48,Married,1,Mortgage,355,0.605978799,6,0,0.054374318,0,Other,0,15,19,394,542,154152,7417,15052.91667,0.660037253,4,146735,0.274528,0.3294336,1227.53732,0.105131607,1,36.8,4374
2/18/66,56,55784,518,Employed,High School,31,53918,60,Married,1,Other,473,0.434388217,6,0,0.292949354,1,Education,0,25,8,2088,4471,13790,5148,4648.666667,0.565696493,6,8642,0.299918,0.338100031,1872.682308,0.504592494,0,66.0,17580
7/25/68,48,70409,536,Employed,Master,23,58308,108,Married,1,Own,392,0.303373951,6,2,0.143817545,0,Debt Consolidation,0,39,8,1954,352,31497,25963,5867.416667,0.852461294,2,5534,0.335308,0.355017435,1802.356903,0.373990297,0,51.0,18468
10/25/25,54,115775,599,Self-Employed,Master,30,12955,24,Married,0,Rent,546,0.318779052,8,0,0.36453328,0,Other,1,32,1,719,1821,13308,11021,9647.916667,0.888691876,5,2287,0.188455,0.219985014,672.0719063,0.126252325,0,66.0,2854
8/25/34,58,97112,488,Employed,Bachelor,37,12968,60,Married,2,Own,793,0.044866261,3,2,0.370633372,0,Other,1,22,12,6300,232,73001,6530,8092.666667,0.534750559,4,66471,0.273968,0.236085832,370.1225713,0.143725501,1,44.8,6080
10/11/31,55,108448,646,Employed,Bachelor,35,19370,72,Married,2,Own,338,0.520373509,5,3,0.295085108,0,Other,0,12,12,3049,701,131360,14983,9037.333333,0.86706373,5,116377,0.21137,0.247326367,518.599801,0.094784575,1,36.0,5031
2/11/28,52,92260,590,Employed,Doctorate,30,10802,120,Married,3,Own,326,0.6377794,4,0,0.543214789,0,Home,1,29,10,1495,1223,119423,18575,7688.333333,0.784948874,7,100848,0.270802,0.259069183,252.6777306,0.075266993,1,48.8,3693
8/23/55,66,183158,608,Employed,Bachelor,42,12941,24,Married,3,Other,445,0.050807157,6,1,0.316389328,0,Other,1,30,16,23546,98,69656,71396,15263.16667,0.801471195,2,10432,0.183941,0.172272592,641.2463588,0.071167824,1,43.2,13748
4/26/61,49,205442,558,Employed,High School,26,18293,60,Single,0,Mortgage,807,0.067550528,1,1,0.150354369,0,Education,0,25,3,65817,935,92534,40633,17120.16667,0.914028601,5,51901,0.244293,0.229889537,515.5721974,0.077252297,1,38.4,15821
10/12/55,57,260149,586,Employed,Bachelor,38,14921,12,Single,3,Rent,468,0.533150051,6,2,0.381630487,0,Home,0,22,2,773,403,10813,15254,21679.08333,0.921050396,4,7264,0.186921,0.219920004,1396.464294,0.086002912,1,45.6,13798
9/5/55,44,251936,486,Employed,Bachelor,22,11945,48,Married,0,Own,968,0.126583978,4,1,0.091724408,1,Debt Consolidation,0,26,9,4863,336,158691,12172,20994.66667,0.841441623,3,146519,0.263945,0.267023673,407.4876168,0.065516049,1,44.8,13761
9/16/40,50,45528,564,Employed,Bachelor,27,55733,24,Divorced,0,Mortgage,704,0.414326633,1,0,0.403106621,0,Debt Consolidation,0,25,10,9910,371,126751,84214,3794.0,0.750983123,10,42537,0.248733,0.2984796,3111.829091,1.005753582,0,58.0,8294
8/16/27,45,15855,607,Employed,Associate,23,47214,36,Single,2,Mortgage,1187,0.229541723,3,1,0.616956598,0,Home,0,20,20,8143,351,28342,39162,1321.25,0.644067346,9,1319,0.228714,0.249746895,1876.588453,2.3187046,0,57.0,3514
