twoPass,quality,bestQuality,goodQuality,rtQuality,constantBitrate,autoAltRef,noAltRef,allowResize,Threads,TokenParts,ArnrMaxFrames,ArnrStrength,Performance-,Energy-,Cpu-,_source_row
0,1,0,0,1,0,0,0,0,2,1,5,6,6498.4,274.0,36.436667,89
0,1,1,0,0,0,0,0,0,1,1,5,3,59509.0,2161.4,26.226102,916
0,1,0,0,1,0,0,0,0,2,2,5,0,6419.0,311.0,37.072857,21
0,1,0,0,1,0,0,0,0,1,1,5,3,8223.8,311.4,26.845,52
0,1,0,0,1,1,0,0,1,2,1,5,3,6313.4,258.6,37.333333,377
1,1,0,0,1,0,0,1,1,4,0,0,0,5593.2,231.8,41.348,1311
0,1,0,0,1,1,0,0,0,2,1,5,3,6054.4,275.0,38.553333,269
0,1,0,0,1,1,0,0,1,3,0,5,3,5494.0,217.6,41.388,374
0,1,0,0,1,1,0,0,0,1,2,5,0,8037.8,298.6,30.325,236
0,1,0,0,1,1,0,0,1,4,1,0,3,5448.0,229.0,47.203333,367
0,1,0,0,1,1,0,0,1,4,2,5,3,5206.2,256.6,44.298,383
1,1,0,0,1,1,0,1,0,4,2,0,0,5518.6,239.0,39.851333,1547
0,1,0,0,1,1,0,0,1,1,2,5,3,7883.8,312.2,29.648214,380
1,1,0,1,0,1,1,0,0,1,2,5,3,48158.4,1663.8,26.397686,2096
0,1,0,1,0,1,0,0,0,1,2,0,3,39393.4,1434.8,26.775385,692
0,1,0,0,1,1,0,0,1,1,0,5,6,7983.0,310.6,27.913571,408
0,1,0,0,1,1,0,0,1,4,1,15,3,5239.8,232.0,42.272,391
0,1,0,0,1,1,0,0,0,1,0,5,0,7836.2,316.8,27.336072,228
0,1,0,1,0,1,0,0,0,1,2,5,0,39452.6,1429.0,26.638308,668
0,1,0,0,1,1,0,0,0,2,1,15,3,6306.2,267.4,38.961429,281
0,1,0,0,1,1,0,0,0,1,1,15,3,7813.6,323.8,29.493214,280
