twoPass,quality,bestQuality,goodQuality,rtQuality,constantBitrate,autoAltRef,noAltRef,allowResize,Threads,TokenParts,ArnrMaxFrames,ArnrStrength,Performance-,Energy-,Cpu-,_source_row
0,1,0,0,1,0,0,0,0,2,1,5,6,6498.4,274.0,36.436667,89
0,1,0,0,1,0,0,0,0,2,2,5,0,6419.0,311.0,37.072857,21
0,1,0,0,1,0,0,0,0,1,1,5,3,8223.8,311.4,26.845,52
0,1,0,0,1,1,0,0,1,2,1,5,3,6313.4,258.6,37.333333,377
1,1,0,0,1,0,0,1,1,4,0,0,0,5593.2,231.8,41.348,1311
0,1,0,0,1,1,0,0,0,2,1,5,3,6054.4,275.0,38.553333,269
0,1,0,0,1,1,0,0,0,4,2,15,3,5482.4,233.8,45.003333,287
0,1,0,0,1,1,0,0,0,4,1,0,3,5372.6,246.8,46.12,259
0,1,0,1,0,1,0,0,0,1,0,5,3,39590.4,1409.8,26.642449,696
0,1,0,0,1,1,0,0,0,1,2,5,0,8037.8,298.6,30.325,236
1,1,0,0,1,1,1,0,1,1,1,0,0,7912.2,316.6,29.183929,1672
0,1,0,0,1,1,0,0,0,4,0,0,3,5412.6,246.0,44.487333,255
0,1,0,1,0,1,0,0,0,1,1,5,0,41577.2,1568.8,26.239652,664
1,1,0,0,1,1,1,0,0,4,2,15,3,5400.2,237.6,46.700667,1631
0,1,1,0,0,0,0,0,0,1,1,5,0,58916.4,2119.8,26.02218,880
0,1,0,0,1,1,0,0,1,1,1,5,3,7779.4,333.0,32.1425,376
1,1,0,0,1,1,1,0,1,1,1,5,3,7838.8,313.6,31.0725,1720
0,1,0,1,0,0,0,0,0,1,1,5,0,45337.0,1684.6,26.191555,448
0,1,0,0,1,1,0,0,0,4,2,5,0,5491.8,281.4,43.660667,239
0,1,0,0,1,1,0,0,1,4,2,5,3,5206.2,256.6,44.298,383
1,1,0,0,1,1,0,1,0,4,2,0,0,5518.6,239.0,39.851333,1547
0,1,0,1,0,1,0,0,0,1,2,5,0,39452.6,1429.0,26.638308,668
0,1,0,0,1,1,0,0,1,4,1,5,3,5461.4,282.6,42.310667,379
0,1,0,0,1,1,0,0,1,1,2,5,3,7883.8,312.2,29.648214,380
0,1,0,0,1,1,0,0,0,1,0,5,0,7836.2,316.8,27.336072,228
0,1,0,0,1,1,0,0,0,2,1,15,3,6306.2,267.4,38.961429,281
1,1,0,0,1,1,1,0,0,4,0,0,3,5417.4,227.8,47.04,1599
0,1,0,1,0,1,0,0,1,1,1,5,3,41482.8,1521.8,26.484576,808
1,1,0,0,1,1,1,0,0,1,1,5,0,7819.2,317.2,30.201786,1576
1,1,0,0,1,1,0,1,1,4,0,0,0,5570.0,229.0,43.589333,1551
