twoPass,quality,bestQuality,goodQuality,rtQuality,constantBitrate,autoAltRef,noAltRef,allowResize,Threads,TokenParts,ArnrMaxFrames,ArnrStrength,Performance-,Energy-,Cpu-,_source_row
1,1,0,0,1,1,1,0,1,4,2,15,0,5183.8,246.8,44.972,1703
1,1,0,0,1,1,1,0,0,3,2,15,0,5512.0,225.6,44.186667,1594
1,1,0,0,1,0,1,0,0,2,2,0,0,6249.4,268.6,39.214762,1329
0,1,0,0,1,0,0,0,1,3,1,0,0,5801.2,272.8,40.796,114
1,1,0,0,1,1,1,0,1,3,2,0,0,5583.4,273.8,41.9,1678
1,1,0,0,1,1,1,0,1,3,2,15,0,5509.2,274.8,41.26,1702
0,1,0,0,1,1,0,0,1,3,2,0,0,5451.6,279.4,42.988,334
1,1,0,0,1,1,1,0,0,4,1,15,0,5267.4,244.8,44.819333,1591
0,1,0,0,1,1,0,0,1,4,2,5,0,5370.8,276.8,46.990667,347
1,1,0,0,1,1,1,0,1,4,2,5,6,5272.2,253.8,47.524667,1763
0,1,0,0,1,1,0,0,0,4,2,5,6,5251.2,274.6,45.588,311
1,1,0,0,1,0,1,0,1,2,2,0,0,6417.6,253.6,39.093333,1437
0,1,0,0,1,0,0,0,1,2,2,0,0,6486.2,302.8,36.623333,117
1,1,0,0,1,0,1,0,1,3,1,0,0,5818.4,314.8,43.52,1434
1,1,0,0,1,0,1,0,1,2,1,0,0,6498.4,264.0,37.174762,1433
0,1,0,0,1,0,0,0,1,2,2,0,6,6350.4,286.8,40.628571,189
0,1,0,0,1,0,0,0,0,2,2,0,6,6313.8,305.4,37.1,81
0,1,0,0,1,0,0,0,0,2,2,0,0,6649.2,271.8,38.860476,9
1,1,0,1,0,1,1,0,1,2,2,15,0,29030.6,1194.4,42.342069,2181
1,1,0,1,0,0,1,0,1,4,1,5,0,21527.0,1046.2,59.202987,1927
