twoPass,quality,bestQuality,goodQuality,rtQuality,constantBitrate,autoAltRef,noAltRef,allowResize,Threads,TokenParts,ArnrMaxFrames,ArnrStrength,Performance-,Energy-,Cpu-,_source_row
1,1,0,0,1,1,1,0,0,2,2,5,0,6293.2,294.8,36.186667,88
1,1,0,0,1,0,0,1,0,3,1,0,0,5674.2,255.2,37.566667,48
1,1,0,0,1,1,0,1,0,4,2,0,0,5518.6,239.0,39.851333,20
1,1,0,1,0,0,1,0,1,1,0,5,6,46702.4,1675.6,26.187734,55
0,1,0,0,1,0,0,0,0,4,0,5,6,5373.2,229.0,43.954,38
1,1,0,0,1,1,1,0,1,4,0,0,0,5293.4,224.0,45.98,43
0,1,0,0,1,1,0,0,1,4,1,15,3,5239.8,232.0,42.272,36
0,1,0,0,1,1,0,0,1,4,2,5,3,5206.2,256.6,44.298,19
1,1,0,0,1,1,1,0,1,4,2,15,0,5183.8,246.8,44.972,45
1,1,0,0,1,1,1,0,1,1,0,5,0,7921.8,299.6,28.336786,63
1,1,0,0,1,1,1,0,1,3,2,15,0,5509.2,274.8,41.26,73
1,1,0,0,1,1,1,0,0,4,1,15,3,5255.8,227.0,44.786,41
1,1,0,0,1,1,1,0,1,4,0,15,6,5217.6,242.2,43.492,46
0,1,0,0,1,1,0,0,0,4,0,15,3,5289.8,278.6,41.788,42
0,1,0,1,0,1,0,0,1,1,1,5,3,41482.8,1521.8,26.484576,27
1,1,0,0,1,0,0,1,1,4,0,0,0,5593.2,231.8,41.348,4
0,1,0,1,0,1,0,0,0,1,0,5,3,39590.4,1409.8,26.642449,8
1,1,0,1,0,1,1,0,1,1,1,5,0,48956.0,1716.0,26.174507,60
1,1,1,0,0,0,1,0,0,1,0,15,3,57852.8,1997.8,25.936963,68
