twoPass,quality,bestQuality,goodQuality,rtQuality,constantBitrate,autoAltRef,noAltRef,allowResize,Threads,TokenParts,ArnrMaxFrames,ArnrStrength,Performance-,Energy-,Cpu-,_source_row
1,1,0,0,1,1,1,0,1,4,0,0,0,5293.4,224.0,45.98,43
1,1,0,0,1,1,1,0,1,4,2,15,0,5183.8,246.8,44.972,45
1,1,0,0,1,0,0,1,0,3,1,0,0,5674.2,255.2,37.566667,48
0,1,0,0,1,0,0,0,0,2,1,5,6,6498.4,274.0,36.436667,0
1,1,0,0,1,0,0,1,1,4,0,0,0,5593.2,231.8,41.348,4
0,1,0,0,1,1,0,0,1,2,1,5,3,6313.4,258.6,37.333333,3
0,1,0,0,1,1,0,0,1,4,2,5,3,5206.2,256.6,44.298,19
0,1,0,0,1,1,0,0,1,3,1,15,3,5794.0,247.4,39.560667,61
0,1,0,0,1,1,0,0,1,4,1,15,3,5239.8,232.0,42.272,36
0,1,0,0,1,1,0,0,1,3,0,5,3,5494.0,217.6,41.388,31
0,1,0,0,1,1,0,0,0,4,0,15,3,5289.8,278.6,41.788,42
0,1,0,0,1,1,0,0,0,1,0,5,0,7836.2,316.8,27.336072,24
1,1,0,0,1,1,1,0,1,3,2,15,0,5509.2,274.8,41.26,73
1,1,0,0,1,1,0,1,0,4,2,0,0,5518.6,239.0,39.851333,20
0,1,0,0,1,1,0,0,0,1,2,5,0,8037.8,298.6,30.325,9
1,1,0,0,1,1,1,0,0,2,2,5,0,6293.2,294.8,36.186667,88
1,1,0,0,1,1,1,0,0,4,1,15,3,5255.8,227.0,44.786,41
0,1,0,0,1,0,0,0,0,4,0,5,6,5373.2,229.0,43.954,38
