encryption,compression,compressionBzip2,compressionGzip,compressionLzo,compressionZpaq,compressionLzma,unlimitedWindowSize,disableCompressibilityTesting,Level,ProcessorCount,MaxRam,Performance-,Benchmark-cpu-,_source_row
1,1,0,0,0,1,0,1,0,8,1,18,1651986.2,25.327496,75
0,1,0,0,1,0,0,1,0,2,2,18,9645.6,46.944,26
1,1,0,0,0,1,0,1,0,7,1,18,705071.0,25.498153,17
0,1,0,0,0,1,0,1,0,9,3,6,1650529.0,25.405164,56
0,1,0,0,1,0,0,0,0,2,2,18,9772.8,45.010889,10
0,0,0,0,0,0,0,1,0,2,3,6,10255.0,35.600364,61
0,1,0,0,0,1,0,0,0,1,1,18,225432.6,25.810571,5
0,1,0,0,0,1,0,1,0,5,3,2,684551.4,25.661477,51
0,1,0,0,0,1,0,1,0,1,1,6,218113.8,26.649652,19
1,1,1,0,0,0,0,0,0,2,1,6,72690.2,26.934749,73
0,0,0,0,0,0,0,1,0,1,3,18,10343.0,33.406,48
0,0,0,0,0,0,0,0,1,1,3,6,10259.4,35.082,50
0,1,0,0,0,0,1,0,0,2,1,2,63967.2,29.045625,74
0,1,0,1,0,0,0,0,1,1,1,18,25019.6,30.2662,7
1,1,0,0,1,0,0,1,1,1,1,18,14985.8,31.379714,37
0,1,1,0,0,0,0,0,1,2,1,6,66551.8,28.013492,70
1,0,0,0,0,0,0,1,0,3,3,18,14509.2,32.04,52
1,1,0,1,0,0,0,0,0,2,1,6,30302.8,29.394258,71
0,0,0,0,0,0,0,0,1,6,1,18,11472.2,32.924848,39
0,0,0,0,0,0,0,0,1,9,2,6,14386.4,32.657714,1
0,1,0,0,0,0,1,1,0,1,1,18,67616.4,27.131773,4
0,1,0,1,0,0,0,0,0,2,1,18,26893.6,29.765128,41
0,1,0,0,0,1,0,1,0,1,1,18,224713.8,25.853438,33
0,1,0,0,0,0,1,0,0,1,1,6,67457.2,27.566062,81
1,1,0,0,0,1,0,0,1,1,3,6,223406.6,26.311659,16
1,1,0,0,0,1,0,0,0,1,3,6,223368.4,26.327444,20
0,1,0,0,0,0,1,0,1,2,1,6,67567.8,27.51511,60
